DATASET_ID,COMMENT,FIELD,FORMAT,LINK,MIME_TYPE,TITLE
1,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=79be9778cc0c43a4a0702db11dc7b8b9,,Quartz Grouping - 50k
1,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/Mining/Quartz_Grouping_50k/,,Quartz Grouping - 50k
1,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/79be9778cc0c43a4a0702db11dc7b8b9/info/metadata/metadata.xml?format=default&amp;output=html,,Quartz Grouping - 50k
2,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=6ba342eddd38481d9d24e1b51d71bdb5,,Placer Grouping - 50k
2,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/Mining/Placer_Grouping_50k/,,Placer Grouping - 50k
2,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/6ba342eddd38481d9d24e1b51d71bdb5/info/metadata/metadata.xml?format=default&amp;output=html,,Placer Grouping - 50k
3,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=4df5a1520e8a497b8d64a2c744a06f33,,Alaska Geology
3,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/Geological/Mineral_Occurrences_250k/,,Alaska Geology
3,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/dcd78eea50a74a788b013dcc05ef0c8a/info/metadata/metadata.xml?format=default&amp;output=html,,Alaska Geology
4,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=45240218c3d34f329d85e9e892216910,,Map fpr Max
4,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/Forestry/Permanent_Sampling_Plots/,,Map fpr Max
4,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/0ed85d6cc8e648a09460d24fc27adbb6/info/metadata/metadata.xml?format=default&amp;output=html,,Map fpr Max
5,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=9f87df3606aa476dae9653871f2f8d76,,Term II Inquiry Project
5,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/Geological/Regional_Geochemical_Surveys_RGS_AAS_250k/,,Term II Inquiry Project
5,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/ede635091e32433e8199676dd57d57fb/info/metadata/metadata.xml?format=default&amp;output=html,,Term II Inquiry Project
6,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=5920059e9c1b48bfba26e70e988f6d93,,Renewable energy
6,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/Geological/Regional_Geochemical_Surveys_RGS_All_250k/,,Renewable energy
6,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/76e0e2fd1a924ec099a76481c2423029/info/metadata/metadata.xml?format=default&amp;output=html,,Renewable energy
7,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=54e71d67d7ac41318d7f973204a87af5,,"Anchorage, Alaska Earthquake 2018 [Ahsan]-PGA"
7,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/Geological/Regional_Geochemical_Surveys_RGS_Heon_250k/,,"Anchorage, Alaska Earthquake 2018 [Ahsan]-PGA"
